Model,CodeBLEU_mean,CodeBLEU_std,BLEU_mean,BLEU_std,Weighted_BLEU_mean,Weighted_BLEU_std,AST_Match_mean,AST_Match_std,Dataflow_Match_mean,Dataflow_Match_std,Valid_Samples
ChatGPT,0.7705907057755591,0.12374667042231231,0.682353878945529,0.11884769129386795,0.762721362734288,0.08943950545315817,0.8542953877750559,0.17417647853345014,0.7829921936473639,0.1851884084373741,135
Deepseek,0.8781493309597893,0.15643310448032544,0.8284957432736743,0.17972640503741794,0.8659934826781818,0.17836836734301179,0.9332911695375868,0.17120810134311915,0.8848169283497146,0.18017006903702334,135
Qwen,0.9182603959412439,0.04873784667898257,0.8759432596743358,0.06615803252058283,0.9103685617583871,0.04714788371235554,0.969352114455271,0.03531565336264911,0.9173776478769821,0.07112168984271278,135
Claude,0.8841714395415813,0.06639678586977886,0.8455602238340166,0.07955840882675819,0.8955339179063586,0.04853902482209939,0.9309669497690626,0.06373193563472883,0.8646246666568875,0.09624295626127312,135
Gemini,0.814941392578487,0.09509014483449019,0.7153875759893047,0.12732703933228803,0.7599830067700772,0.11606863313379197,0.9471717866733691,0.047027553648642334,0.8372232008811971,0.12632202051350225,135
CPAM-LLM_noChot,0.8821662000263313,0.1399557703810373,0.839397426299066,0.14419057784570793,0.87509587260996,0.11899094098075592,0.9334698562211932,0.2050259492167727,0.8807016449751057,0.21529018797039037,135
CPAM-LLM_noFCA,0.9143944906122067,0.11312301664104372,0.8752937185833277,0.14226348929486343,0.8890820248918311,0.1311917649430087,0.9750264602881202,0.12142798489994433,0.9181757586855478,0.15714383724068576,135
CPAM-LLM,0.9143648907979441,0.10737946544257372,0.8757331311928632,0.12391441769631518,0.8997889677074171,0.10267207891758359,0.9618627415230755,0.14860568218663928,0.9200747227684204,0.15791386089270568,135
