Model,Number,CodeBLEU,BLEU,Weighted_BLEU,AST_Match,Dataflow_Match
ChatGPT,2,0.9195367394396872,0.874471411080109,0.9187963705141489,0.9218415417558886,0.9630376344086022
ChatGPT,3,0.9243797423178182,0.8780685537092003,0.8941649597687237,0.9681818181818181,0.9571036376115305
ChatGPT,4,0.9241137403425892,0.8771181165471814,0.8972847524081794,0.9808558558558559,0.9411962365591398
ChatGPT,5,0.8381404042038603,0.7277016217868868,0.7958224377305929,0.8978328173374613,0.9312047399605003
ChatGPT,6,0.8772792002021319,0.8073400993167807,0.8603792197861309,0.9032597266035752,0.9381377551020409
ChatGPT,7,0.8906152785219512,0.8269838372427355,0.8521919855585537,0.9782372143634385,0.9050480769230769
ChatGPT,8,0.9108499312475042,0.8561998732816897,0.8958896457532497,0.9352818371607515,0.9560283687943263
ChatGPT,9,0.8351885238725254,0.7128898475828457,0.7886053935363418,0.8769083969465649,0.9623504574243491
ChatGPT,10,0.9054039379755398,0.8195879769062793,0.8616869697887274,0.9575821845174973,0.9827586206896552
ChatGPT,11,0.825066241797906,0.7256409177213464,0.8075420059787234,0.8445692883895131,0.9225127551020409
ChatGPT,12,0.8142126745417093,0.7525818160947582,0.8081861253937551,0.8799630655586335,0.8161196911196911
ChatGPT,13,0.8287276673091855,0.7143903430813188,0.7924039375050289,0.8669201520912547,0.9411962365591398
ChatGPT,14,0.8322950200074792,0.6845290584227856,0.7493295868471244,0.9125628140703518,0.9827586206896552
ChatGPT,15,0.9324775894166548,0.876536358867609,0.9083392664475676,0.9729144095341279,0.9721203228173148
ChatGPT,16,0.8798185802204064,0.8343795775958236,0.8626893269792619,0.965270684371808,0.856934731934732
ChatGPT,17,0.8137242131153354,0.705035843028861,0.7790833801989692,0.8835227272727273,0.8872549019607843
ChatGPT,18,0.9192523060525182,0.874399676270021,0.9010011129033456,0.9674711437565582,0.9341372912801484
ChatGPT,19,0.8568207774894139,0.8045853774820342,0.8453241580871214,0.9582089552238806,0.8191646191646191
ChatGPT,20,0.7856587850087129,0.647954225103537,0.7457362268632497,0.8420569329660239,0.9068877551020409
ChatGPT,21,0.8922829472352551,0.8268875184483828,0.8656223864864037,0.9786802030456853,0.8979416809605489
ChatGPT,22,0.7547991696907146,0.6458689498039765,0.7031071906960029,0.8934348239771646,0.7767857142857143
ChatGPT,23,0.8772903769917928,0.785298150255951,0.8476277510733402,0.9350393700787402,0.9411962365591398
ChatGPT,24,0.8299517599395663,0.7015745704908017,0.7829035035925886,0.878003696857671,0.9573252688172043
ChatGPT,25,0.9133318190500465,0.8708386547216623,0.9122761845197264,0.9233038348082596,0.9469086021505376
ChatGPT,26,0.8500135347318065,0.7827350793325499,0.827640924189571,0.9292452830188679,0.8604328523862375
ChatGPT,27,0.8565681926189153,0.7438821304291089,0.78914793804809,0.962037962037962,0.9312047399605003
ChatGPT,28,0.8383556007126349,0.6875981345133225,0.7520646758302636,0.9310009718172984,0.9827586206896552
ChatGPT,29,0.8871013244997562,0.8299629276231779,0.877303231766973,0.9691714836223507,0.871967654986523
